case,order,pade_label,rank,sigma_max,sigma_min,cond,ells_min,ells_max,ns,L_max
schwarzschild_via_hayward,3,0,7,174.3640478178857,0.22418809318434965,777.7578431630012,2,5,"0,1,2",6
schwarzschild_via_hayward,6,0,7,174.28935265189776,0.2287540393145081,761.9072134165542,2,5,"0,1,2",6
schwarzschild_via_hayward,3,1,7,174.3640478178857,0.22418809318434965,777.7578431630012,2,5,"0,1,2",6
schwarzschild_via_hayward,6,1,7,174.28935265189776,0.2287540393145081,761.9072134165542,2,5,"0,1,2",6
