L_max,rank,sigma_max,sigma_min,cond
6,7,6.330921494618484,0.030682747137492087,206.3348977928563
12,13,6.331209755566803,9.744482007495012e-07,6497225.558728647
24,17,6.331209756296426,7.444830650109274e-15,850416893795092.2
