lambda,mean_error,std_error,noise_gain
1e-12,141753.70107809175,31.80081978099265,318986.00361482496
3.1622776601683794e-12,114514.50966916679,28.883635054767197,255475.43736526446
1e-11,72518.88149320666,12.845756259739508,156770.52462235713
3.1622776601683794e-11,36170.81029870624,6.969301367642612,87444.44198048468
1e-10,17193.788161010787,2.7814479974497064,46380.02172155185
3.1622776601683795e-10,9653.523345671116,1.8445383256128396,24454.509723278
1e-09,5598.599672630325,1.411540581040546,15801.734271007206
3.1622776601683795e-09,2619.374668838003,0.7248595746123172,7457.470562098616
1e-08,1032.4809212614218,0.3331945432475373,4924.98309531777
3.162277660168379e-08,384.748007339903,0.1828982403388376,2599.535457527517
1e-07,142.44121198630256,0.07657464866233578,1042.6734280404155
3.162277660168379e-07,65.479239814747,0.04275709773874267,548.2478274464544
1e-06,42.591133420826424,0.04225672661196315,445.73443015546775
3.162277660168379e-06,27.065570231415013,0.023370426525893228,280.10810109454843
1e-05,15.699446798812403,0.009362658987853954,128.7828783384286
3.1622776601683795e-05,11.310333978830522,0.004059880811242838,52.937237654125376
0.0001,9.54991552271041,0.0032425330650861614,43.65954879300515
0.00031622776601683794,7.355237514046525,0.0026659786630129734,28.091055447103397
0.001,4.539988137678046,0.0015029861451630573,15.764498844924928
0.0031622776601683794,2.2995724857244455,0.0006505611955117874,7.283745837133361
0.01,1.340309820255791,0.0002020289896200094,4.542862710576983
0.03162277660168379,1.0969458757497115,0.00010177823736695331,2.787857005381259
0.1,1.0056455656690442,8.20364782316365e-05,1.5680683398258968
0.31622776601683794,0.8916234239627078,6.658744966403229e-05,0.7487771746538548
1.0,0.6987006163759406,4.383122801504961e-05,0.4998113938423887
